DEPARTMENTAL RECOVERY STRATEGY REGISTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department: Implementation / Technical Unit,,,,,,,,,,,,,,,,,Register Owner (BCC):  ______________________     Last Updated:  03-Sep-2026,,,,,,,,,,,,
IDENTIFICATION,,,,,,,RECOVERY TARGETS (FROM BIA),,,,STRATEGY DETAILS,,,,READINESS,,,,TESTING,,,,SIGN-OFF & STATUS,,,,,,
Strategy Ref,BIA Ref,Department / Unit,Function / Process Name,Prepared By (BCC),Date Prepared,Plan Version,Criticality Ranking,RTO (Hrs),RPO,MTPD (Hrs),Strategy Type(s),Strategy Summary,Alternate Site/Access Required?,Cross-Trained Backup Staff?,Current Recovery Capability (Hrs),RTO Gap?,Recovery Team Confirmed?,Resource Requirements Documented?,Last Tested Date,Test Result Summary,Next Test Due,Test Status,Reviewed By,Review Date,Approved By,Approval Date,Status,Days Since Last Review,Comments / Notes
RS-2026-TU-01,BIA-2026-TU-01,Implementation / Technical Unit,Requirements & Solution Design,R. Sulaimon (BCC),01-Sep-2026,v1.0,4 - Major,48,N/A,240,People + Technology,Functional Lead continues from the shared spec; restore documents from the repository backup,Yes,Yes,48,No,Yes,No,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-02,BIA-2026-TU-02,Implementation / Technical Unit,Application Development (Coding),R. Sulaimon (BCC),01-Sep-2026,v1.0,3 - Moderate,48,1 business day,240,People + Technology,Senior Developer continues from last commit; rebuild the workstation; do not rely on local uncommitted work,Yes,Yes,24,No,Yes,No,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-03,BIA-2026-TU-03,Implementation / Technical Unit,Source Code & Version Control,R. Sulaimon (BCC),01-Sep-2026,v1.0,4 - Major,8,15 Minutes,120,People + Process + Technology,Restore the repository from platform/vendor backup; freeze merges until the last good copy is verified,Yes,Yes,4,No,Yes,No,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-04,BIA-2026-TU-04,Implementation / Technical Unit,Code Review,R. Sulaimon (BCC),01-Sep-2026,v1.0,3 - Moderate,48,N/A,240,People + Process,"Senior Developer reviews; if both reviewers are unavailable, freeze merges  do not skip review",Yes,Yes,2,No,Yes,No,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-05,BIA-2026-TU-05,Implementation / Technical Unit,Testing & Quality Assurance,R. Sulaimon (BCC),01-Sep-2026,v1.0,4 - Major,24,N/A,120,People + Technology,Functional Tester continues from written cases; restore or rebuild staging from the environment baseline,Yes,Yes,24,No,Yes,Yes,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-06,BIA-2026-TU-06,Implementation / Technical Unit,Build Management,R. Sulaimon (BCC),01-Sep-2026,v1.0,4 - Major,24,1 business day,120,People + Technology,Rebuild the build host from definitions in source control; Technical Lead runs a known-good build,Yes,Yes,6,No,Yes,Yes,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-07,BIA-2026-TU-07,Implementation / Technical Unit,CI/CD Pipeline Management,R. Sulaimon (BCC),01-Sep-2026,v1.0,4 - Major,8,1 Hour,120,People + Process + Technology,Restore pipelines from source-controlled config; manual deploy only with dual control if the platform is down,Yes,Yes,4,No,Yes,Yes,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-08,BIA-2026-TU-08,Implementation / Technical Unit,Release Deployment (Execution),R. Sulaimon (BCC),01-Sep-2026,v1.0,4 - Major,8,N/A,120,People + Process + Technology,Technical Lead executes the runbook; roll back to the previous package; delay any non-urgent release,Yes,Yes,1,No,Yes,Yes,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-09,BIA-2026-TU-09,Implementation / Technical Unit,Database & Data Structure Management,R. Sulaimon (BCC),01-Sep-2026,v1.0,4 - Major,4,15 Minutes,72,People + Process + Technology,Restore from backup; Senior Developer applies scripted changes only; call the platform vendor if the engine is down,Yes,Yes,2,No,Yes,Yes,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-10,BIA-2026-TU-10,Implementation / Technical Unit,Third-Party & Dependency Management,R. Sulaimon (BCC),01-Sep-2026,v1.0,3 - Moderate,48,N/A,240,People + Technology,DevOps Engineer applies vendor patches from the inventory and lockfiles; rebuild artefacts from the last known-good set,Yes,Yes,24,No,Yes,Yes,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-11,BIA-2026-TU-11,Implementation / Technical Unit,Security & Access Configuration,R. Sulaimon (BCC),01-Sep-2026,v1.0,4 - Major,24,1 business day,120,People + Process + Technology,Technical Lead uses the documented break-glass admin; restore the directory from backup; HR-driven leaver disable,Yes,Yes,24,No,Yes,Yes,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-12,BIA-2026-TU-12,Implementation / Technical Unit,Environment Management,R. Sulaimon (BCC),01-Sep-2026,v1.0,3 - Moderate,48,1 business day,240,People + Technology,Rebuild the environment from the documented baseline (or infrastructure-as-code if present); Technical Lead,Yes,Yes,24,No,Yes,Yes,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-13,BIA-2026-TU-13,Implementation / Technical Unit,Data Handling & ETL,R. Sulaimon (BCC),01-Sep-2026,v1.0,4 - Major,8,1 Hour,72,People + Process + Technology,Database Administrator re-runs documented jobs; restore mappings from the repository; delay non-close jobs,Yes,Yes,5,No,Yes,Yes,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet.
RS-2026-TU-14,BIA-2026-TU-14,Implementation / Technical Unit,Production Support & Troubleshooting,R. Sulaimon (BCC),01-Sep-2026,v1.0,5 - Critical,4,1 Hour,72,People + Process + Technology,Senior Developer follows runbooks; escalate to Oracle/cloud vendor; use the on-call rota,Yes,No,3,No,Yes,Yes,,Not yet tested,,Not Tested,,,,,,,No practice drill has been run yet. Backup-staff gap must close before next review.
